Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
hotel_facilities,Chrome 81.0.4044.129,,2020-04-29 16:07:48,2020-04-29 16:08:57,1m - 9.090s,PASSED
,,,,,,
Test Cases/Automation/Hotel_Facilities,Chrome 81.0.4044.129,,2020-04-29 16:07:48,2020-04-29 16:08:55,1m - 7.558s,PASSED
"openBrowser("""")",Chrome 81.0.4044.129,open browser,2020-04-29 16:07:49,2020-04-29 16:07:56,7.937s,PASSED
maximizeWindow(),Chrome 81.0.4044.129,resize window,2020-04-29 16:07:56,2020-04-29 16:08:01,4.176s,PASSED
"navigateToUrl(""http://test-katrina.icore.studio"")",Chrome 81.0.4044.129,set url,2020-04-29 16:08:01,2020-04-29 16:08:07,6.406s,PASSED
"setText(findTestObject(""Page_Login/input_MEMBER LOGIN_user_name""), ""katrina_system@icore.studio"")",Chrome 81.0.4044.129,set username,2020-04-29 16:08:07,2020-04-29 16:08:07,0.337s,PASSED
"setText(findTestObject(""Page_Login/input_MEMBER LOGIN_user_password""), ""rahasia123"")",Chrome 81.0.4044.129,set password,2020-04-29 16:08:07,2020-04-29 16:08:08,0.159s,PASSED
"submit(findTestObject(""Page_Login/button_Sign In""))",Chrome 81.0.4044.129,"select button ""Sign in""",2020-04-29 16:08:08,2020-04-29 16:08:16,8.411s,PASSED
"waitForElementPresent(findTestObject(""Page_Dashboard_Katrina/a_Hotel""), 10, CONTINUE_ON_FAILURE)",Chrome 81.0.4044.129,wait for element,2020-04-29 16:08:16,2020-04-29 16:08:16,0.068s,PASSED
"click(findTestObject(""Page_Dashboard_Katrina/a_Hotel""), STOP_ON_FAILURE)",Chrome 81.0.4044.129,"select tab ""Hotel""",2020-04-29 16:08:16,2020-04-29 16:08:22,5.720s,PASSED
"waitForElementPresent(findTestObject(""Page_Dashboard_Hotel/header/a_Transaction History""), 8, STOP_ON_FAILURE)",Chrome 81.0.4044.129,wait for element,2020-04-29 16:08:22,2020-04-29 16:08:22,0.114s,PASSED
